ROPT-1U, 228.60, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
ROPT-TRAD, 235.74, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
RSHIFT-1U, 247.65, 44.89, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
S, 71.44, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
SEMICOL, 223.84, 63.94, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
SPACE, 140.49, 25.84, 180.00, KEYSWITCH-THTSMDLED-MX-6.25U-THTSMDLED, MX-6.25U-THTSMDLED
T, 123.83, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
TAB, 23.81, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
TS_SH, 259.56, 44.89, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
U, 161.93, 82.98, 180.00, KEYSWITCH-THTSMDLED-MX-1U-THTSMDLED, MX-1U-THTSMDLED
U$29, 21.28, 26.04, 0.00, LED-0805, LED0805
U$30, 45.17, 25.90, 0.00, LED-0805, LED0805
U$31, 69.06, 25.82, 0.00, LED-0805, LED0805
U$32, 140.49, 25.82, 0.00, LED-0805, LED0805
U$33, 209.48, 26.12, 0.00, LED-0805, LED0805
U$34, 228.60, 25.82, 0.00, LED-0805, LED0805
U$35, 247.65, 44.87, 0.00, LED-0805, LED0805
U$36, 247.65, 25.82, 0.00, LED-0805, LED0805
U$37, 190.28, 45.17, 0.00, LED-0805, LED0805
U$38, 228.38, 45.17, 0.00, LED-0805, LED0805
U$39, 152.18, 45.17, 0.00, LED-0805, LED0805
U$40, 133.13, 45.17, 0.00, LED-0805, LED0805
U$41, 166.69, 63.92, 0.00, LED-0805, LED0805
U$42, 114.08, 45.17, 0.00, LED-0805, LED0805
U$43, 209.33, 45.17, 0.00, LED-0805, LED0805
U$44, 26.19, 63.92, 0.00, LED-0805, LED0805
U$45, 266.70, 25.82, 0.00, LED-0805, LED0805
U$46, 171.23, 45.17, 0.00, LED-0805, LED0805
U$47, 161.93, 82.97, 0.00, LED-0805, LED0805
U$48, 95.03, 45.17, 0.00, LED-0805, LED0805
U$49, 286.05, 26.12, 180.00, LED-0805, LED0805
