BLE, 109.24, 21.50, 180.00, MDBT40-NO-EXTRAMDBT40-NO-EXTRA, MDBT40-NO-EXTRA
L2, 30.73, 91.23, 0.00, 120Ω @ 100MHz, 0402
L3, 36.31, 81.26, 270.00, 1uH, INDC2009X120
Q1, 92.50, 79.92, 270.00, FDN337N, SSOT-3
Q2, 99.42, 63.25, 90.00, FS8205A, SOP65P640X120-8N
R1, 22.40, 98.67, 90.00, 5.1K, R0402
R10, 27.46, 24.93, 90.00, 300, R0603
R11, 51.12, 24.93, 90.00, 300, R0603
R12, 57.60, 41.08, 0.00, 300, R0603
R13, 56.11, 63.03, 90.00, 300, R0603
R14, 51.49, 82.30, 90.00, 300, R0603
R15, 42.86, 101.05, 90.00, 300, R0603
R16, 60.87, 101.05, 90.00, 300, R0603
R17, 70.10, 82.30, 90.00, 300, R0603
R18, 74.71, 63.10, 90.00, 300, R0603
R19, 85.13, 44.05, 90.00, 300, R0603
R1_RST, 39.74, 34.97, 270.00, 10K, R0402
R2, 34.08, 98.67, 270.00, 5.1K, R0402
R20, 72.93, 25.00, 90.00, 300, R0603
R21, 104.03, 43.76, 90.00, 300, R0603
R22, 90.93, 60.13, 0.00, 300, R0603
R23, 89.30, 82.15, 90.00, 300, R0603
R24, 79.92, 101.05, 90.00, 300, R0603
R25, 98.97, 101.05, 90.00, 300, R0603
R26, 108.79, 82.30, 90.00, 300, R0603
R27, 113.85, 63.25, 90.00, 300, R0603
R28, 123.23, 44.05, 90.00, 300, R0603
R29, 144.51, 25.00, 90.00, 300, R0603
R3, 101.80, 17.34, 0.00, 10K, R0402
R30, 142.43, 44.05, 90.00, 300, R0603
R31, 132.90, 62.95, 90.00, 300, R0603
R32, 127.84, 82.15, 90.00, 300, R0603
R33, 118.02, 101.05, 90.00, 300, R0603
R34, 137.07, 101.05, 90.00, 300, R0603
R35, 147.04, 82.15, 90.00, 300, R0603
R36, 151.95, 63.10, 90.00, 300, R0603
R37, 161.48, 44.05, 90.00, 300, R0603
R38, 180.53, 44.05, 90.00, 300, R0603
R39, 171.00, 63.10, 90.00, 300, R0603
R4, 37.80, 60.28, 0.00, 1K, R0402
R40, 165.94, 82.15, 90.00, 300, R0603
R41, 156.12, 101.05, 90.00, 300, R0603
R42, 175.17, 101.05, 90.00, 300, R0603
R43, 184.99, 82.15, 90.00, 300, R0603
R44, 190.05, 63.25, 90.00, 300, R0603
